종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","2215","-30","-1.34","102491401295"
"054620","APS홀딩스","KOSDAQ","금융","9200","-170","-1.81","187626833200"
"265520","AP시스템","KOSDAQ","반도체","15900","-550","-3.34","242974593900"
"211270","AP위성","KOSDAQ","통신장비","8700","370","4.44","131216044800"
"032790","BNGT","KOSDAQ","정보기기","4075","0","0.00","120352455875"
"013720","CBI","KOSDAQ","운송장비·부품","259","-11","-4.07","70018237674"
"035760","CJ ENM","KOSDAQ","방송서비스","76100","-600","-0.78","1668808619400"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","25950","0","0.00","152551538400"
"051500","CJ프레시웨이","KOSDAQ","유통","35100","1300","3.85","416692668600"
"058820","CMG제약","KOSDAQ","제약","2245","-10","-0.44","311813087780"
"023460","CNH","KOSDAQ","금융","2395","-10","-0.42","89094000000"
"056730","CNT85","KOSDAQ","건설","3100","0","0.00","110449763600"
"065770","CS","KOSDAQ","통신장비","1420","-5","-0.35","27563804600"
"083660","CSA 코스믹","KOSDAQ","화학","1005","-20","-1.95","39648448965"
"404950","DB금융스팩10호","KOSDAQ","금융","2105","-5","-0.24","12293200000"
"367340","DB금융스팩8호","KOSDAQ","금융","2140","-20","-0.93","12947000000"
"367360","DB금융스팩9호","KOSDAQ","금융","2125","0","0.00","10285000000"
"068790","DMS","KOSDAQ","기계·장비","4540","25","0.55","111561696940"
"241520","DSC인베스트먼트","KOSDAQ","금융","3715","-20","-0.54","103319362145"
"245620","EDGC","KOSDAQ","기타서비스","1835","35","1.94","154279333385"
"037370","EG","KOSDAQ","건설","7240","-50","-0.69","62444797280"
"050120","ES큐브","KOSDAQ","유통","4015","-370","-8.44","54459805290"
"084180","EV수성","KOSDAQ","기계·장비","1475","35","2.43","92446782875"
"214270","FSN","KOSDAQ","출판·매체복제","3290","45","1.39","91805976080"
"130500","GH신소재","KOSDAQ","섬유·의류","3305","-15","-0.45","48071396860"
"900290","GRT","KOSDAQ","금융","2815","140","5.23","189660625000"
"083450","GST","KOSDAQ","반도체","18600","250","1.36","173310057000"
"297890","HB솔루션","KOSDAQ","기계·장비","13350","-350","-2.55","223213241550"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1805","20","1.12","142577718930"
"195940","HK이노엔","KOSDAQ","제약","32950","250","0.76","952403242050"
"028300","HLB","KOSDAQ","운송장비·부품","42850","1050","2.51","4580814160850"
"067630","HLB생명과학","KOSDAQ","기타서비스","12800","250","1.99","1236952691200"
"047920","HLB제약","KOSDAQ","기타서비스","15000","100","0.67","418067250000"
"115450","HLB테라퓨틱스","KOSDAQ","유통","14250","450","3.26","446526756750"
"403870","HPSP","KOSDAQ","반도체","55200","-200","-0.36","1101217644000"
"036640","HRS","KOSDAQ","화학","5120","-170","-3.21","83736576000"
"335870","IBKS제12호스팩","KOSDAQ","금융","10150","-4350","-30.00","31668000000"
"351340","IBKS제13호스팩","KOSDAQ","금융","1925","-45","-2.28","9952250000"
"388790","IBKS제16호스팩","KOSDAQ","금융","2225","0","0.00","7587250000"
"405350","IBKS제17호스팩","KOSDAQ","금융","2405","0","0.00","6541600000"
"424760","IBKS제18호스팩","KOSDAQ","금융","2165","-60","-2.70","9157950000"
"426550","IBKS제19호스팩","KOSDAQ","금융","2225","20","0.91","11303000000"
"095340","ISC","KOSDAQ","반도체","32200","-200","-0.62","560262966200"
"099520","ITX-AI","KOSDAQ","통신장비","1285","0","0.00","37652662655"
"950170","JTC","KOSDAQ","유통","3500","60","1.74","122519309500"
